;microfilm_number;last_scan;reg_id
0;85;606;191
1;91;593;210
2;102;446;246
3;133;536;370
4;141;547;404
5;144;537;413
6;145;563;415
7;147;548;421
8;148;553;424
9;150;546;429
10;152;531;434
11;153;548;438
12;154;541;442
13;155;531;446
14;157;536;453
15;158;533;457
16;161;493;467
17;165;536;481
18;168;537;494
19;172;535;508
20;173;501;513
21;174;518;518
22;175;519;523
23;176;535;527
24;177;541;531
25;179;498;539
26;180;525;544
27;184;534;560
28;185;544;563
29;186;283;565
30;187;554;567
31;189;523;574
32;190;525;577
33;192;535;585
34;206;539;626
35;207;542;628
36;209;552;635
37;210;538;638
38;213;416;648
39;214;516;650
40;215;495;653
41;217;547;660
42;218;541;663
43;219;461;666
44;221;427;672
45;236;635;713
46;263;594;783
47;271;633;802
48;275;641;812
49;278;709;818
50;289;648;846
51;305;655;882
52;330;646;935
53;363;643;1057
54;371;700;1087
